ccode1,ccode2,year,cap_1,cap_2,alliance,contig,dyaddur,polity21,polity22,demdA,demdB,allied,jointdem,anyweak,hegemon,terrmid,lncapratdir,NEGOC,terrcontig
345,369,2000,.002245,.016002,4,0,9,7,6,1,1,0,1,0,0,0,-1.964008,0,0
345,372,2000,.002245,.000659,4,0,9,7,5,1,0,0,0,0,0,0,1.225737,0,0
345,373,2000,.002245,.001405,4,0,9,7,-7,1,0,0,0,0,0,0,.4686683,0,0
345,375,2000,.002245,.002186,4,0,56,7,10,1,1,0,1,0,0,0,.0266321,0,0
345,380,2000,.002245,.003713,4,0,56,7,10,1,1,0,1,0,0,0,-.5031347,0,0
345,385,2000,.002245,.001699,4,0,55,7,10,1,1,0,1,0,0,0,.2786658,0,0
345,390,2000,.002245,.001415,4,0,55,7,10,1,1,0,1,0,0,0,.461576,0,0
345,395,2000,.002245,.000086,4,0,56,7,,1,0,0,0,1,0,0,3.262114,0,0
345,600,2000,.002245,.003884,4,0,44,7,-6,1,0,0,0,0,0,0,-.54816,0,0
345,640,2000,.002245,.015602,4,0,56,7,7,1,1,0,1,0,0,0,-1.938694,0,0
345,663,2000,.002245,.001457,4,0,54,7,-2,1,0,0,0,0,0,0,.432326,0,0
345,696,2000,.002245,.002087,4,0,29,7,-8,1,0,0,0,0,0,0,.0729779,0,0
350,200,1854,.001248,.336089,4,0,26,-4,3,0,0,0,0,0,0,1,-5.595834,0,0
350,339,1946,.003076,.000793,4,1,2,8,-9,1,0,0,0,0,0,0,1.355562,0,0
350,339,1948,.003573,.000861,4,1,4,8,-9,1,0,0,0,1,0,0,1.423066,0,0
350,339,1949,.004013,.000838,4,1,5,4,-9,0,0,0,0,1,0,0,1.566276,0,0
350,339,1994,.003394,.000637,4,1,50,10,5,1,0,0,0,1,0,1,1.672995,0,1
350,339,1997,.003971,.00057,4,1,53,10,5,1,0,0,0,1,0,0,1.941137,1,0
350,345,1992,.003649,.002224,4,1,48,10,-5,1,0,0,0,0,0,0,.4951459,0,0
350,345,2000,.003634,.002245,4,0,56,10,7,1,1,0,1,0,0,0,.4816284,0,0
350,355,1914,.002213,.00238,4,1,6,10,-9,1,0,0,0,0,0,0,-.0727514,0,0
350,355,1925,.004609,.001876,4,1,17,-6,-3,0,0,0,0,0,0,0,.8988691,0,0
350,355,1928,.004218,.001754,4,1,20,10,-3,1,0,0,0,0,0,0,.8774621,0,0
350,355,1950,.003552,.003288,4,1,6,4,-7,0,0,0,0,0,0,0,.0772314,0,0
350,640,1829,.001076,.056179,4,1,1,-5,-10,0,0,0,0,0,0,0,-3.955292,0,0
350,640,1854,.001248,.045885,4,1,26,-4,-10,0,0,0,0,0,0,1,-3.604596,0,1
350,640,1866,.001181,.022642,4,1,38,7,-10,1,0,0,0,0,0,0,-2.953445,0,0
350,640,1868,.00135,.023634,4,1,40,7,-10,1,0,0,0,0,0,0,-2.862582,0,0
350,640,1877,.002041,.033597,4,1,49,9,-10,1,0,0,0,0,0,1,-2.800997,0,1
350,640,1878,.001692,.026685,4,1,50,9,-10,1,0,0,0,0,0,1,-2.75819,0,1
350,640,1885,.002612,.018694,4,1,57,10,-10,1,0,0,0,0,0,1,-1.968086,0,1
350,640,1888,.002208,.021185,4,1,60,10,-10,1,0,0,0,0,0,1,-2.261206,0,1
350,640,1896,.002186,.019813,4,1,68,10,-10,1,0,0,0,0,0,1,-2.204265,0,1
350,640,1914,.002213,.01215,4,0,86,10,-1,1,0,0,0,0,0,0,-1.70298,0,0
350,640,1919,.002784,.005823,4,1,91,,,0,0,0,0,0,0,1,-.7379268,0,1
350,640,1925,.004609,.006945,4,1,97,-6,-6,0,0,0,0,0,0,0,-.4100111,1,0
350,640,1974,.002988,.008761,1,1,30,1,9,0,1,1,0,0,0,1,-1.075706,0,1
350,640,1975,.003135,.009252,1,1,31,8,9,1,1,1,1,0,0,0,-1.082211,0,0
350,640,1997,.003971,.016805,1,1,53,10,7,1,1,1,1,0,0,1,-1.442659,0,1
350,640,2001,.003701,.014605,-9,1,57,10,7,1,1,,1,0,0,1,-1.372761,0,1
352,640,1965,.000224,.007964,1,0,5,0,8,0,1,1,0,0,0,0,-3.571041,0,0
352,640,1993,.000259,.014112,4,1,33,10,8,1,1,0,1,0,0,1,-3.997953,0,1
355,255,1944,.003402,.136213,4,0,36,-2,-9,0,0,0,0,0,0,0,-3.689856,0,0
355,310,1941,.001661,.00481,1,0,23,-10,-1,0,0,1,0,0,0,0,-1.063277,0,0
355,345,1913,.015734,.001776,1,1,5,,4,0,0,1,0,1,0,1,2.18146,0,1
355,345,1914,.00238,.001886,4,1,6,-9,4,0,0,0,0,0,0,1,.2326423,0,1
355,345,1929,.001758,.006867,4,1,21,-3,-10,0,0,0,0,0,0,0,-1.36255,0,0
355,345,1971,.004014,.005079,4,1,27,-7,-7,0,0,0,0,0,0,1,-.2353261,0,1
355,350,1915,.00127,.001628,4,1,7,-9,1,0,0,0,0,0,0,0,-.2483354,0,0
355,350,1931,.001731,.003936,4,1,23,-3,10,0,1,0,0,0,0,0,-.8214657,0,0
355,350,1940,.002373,.002527,2,1,32,-10,-8,0,0,1,0,0,0,0,-.0628778,0,0
355,350,1952,.002859,.002836,4,1,8,-7,4,0,0,0,0,0,0,1,.0080773,0,1
355,360,1926,.001868,.008927,4,1,18,-3,-4,0,0,0,0,0,0,0,-1.564212,0,0
355,365,1941,.001661,.124339,4,0,33,-10,-9,0,0,0,0,0,0,0,-4.315592,0,0
355,640,1912,.003034,.015829,4,1,4,-9,-1,0,0,0,0,0,0,1,-1.651962,0,1
355,640,1915,.00127,.009041,1,1,7,-9,-1,0,0,1,0,0,0,1,-1.962753,0,1
355,640,1940,.002373,.003962,2,1,32,-10,-7,0,0,1,0,0,0,0,-.512594,0,0
355,640,1944,.003402,.005279,4,1,36,-2,-7,0,0,0,0,0,0,0,-.4393732,0,0
355,640,1987,.003554,.012899,4,1,79,-7,7,0,1,0,0,0,0,0,-1.289076,0,0
355,666,1955,.003061,.001128,4,0,7,-7,10,0,1,0,0,0,0,0,.9982955,0,0
360,2,1940,.011827,.201907,4,0,62,-7,10,0,1,0,0,0,0,0,-2.837422,0,0
360,41,1942,.005404,.000454,4,0,8,-7,0,0,0,0,0,1,0,0,2.476798,0,0
360,255,1914,.005701,.158204,1,0,36,-4,2,0,0,1,0,0,0,0,-3.323244,0,0
360,255,1916,.003849,.150121,1,0,38,,2,0,0,1,0,0,0,0,-3.663628,0,0
360,255,1944,.008178,.136213,4,0,66,-7,-9,0,0,0,0,0,0,0,-2.812772,0,0
360,310,1922,.0084,.005183,4,1,4,-4,-1,0,0,0,0,0,0,0,.4828476,0,0
360,310,1939,.00682,.004284,4,1,21,-6,-1,0,0,0,0,0,0,1,.4649723,1,1
360,310,1941,.005309,.00481,1,1,23,-7,-1,0,0,1,0,0,0,1,.0987064,0,1
360,310,1944,.008178,.004546,4,1,26,-7,,0,0,0,0,0,0,0,.5871999,0,0
360,345,1918,.004368,.002159,4,1,40,-4,,0,0,0,0,0,0,0,.7046602,0,0
360,365,1918,.004368,.037405,4,1,40,-4,-1,0,0,0,0,0,0,1,-2.147499,0,1
360,365,1941,.005309,.124339,4,1,63,-7,-9,0,0,0,0,0,0,0,-3.153608,0,0
360,640,1914,.005701,.01215,4,0,36,-4,-1,0,0,0,0,0,0,0,-.7566876,0,0
365,2,1948,.164,.29466,4,0,132,-9,10,0,1,0,0,0,0,1,-.5859557,0,0
365,2,1958,.171078,.234602,4,0,142,-7,10,0,1,0,0,0,0,0,-.3157709,0,0
365,2,1961,.173939,.210826,4,0,145,-7,10,0,1,0,0,0,0,0,-.1923284,0,0
365,2,1963,.171477,.208139,4,0,147,-7,10,0,1,0,0,0,0,0,-.193757,0,0
365,2,1964,.167705,.20316,4,0,148,-7,10,0,1,0,0,0,0,0,-.1917874,0,0
365,2,1966,.166546,.208847,4,0,150,-7,10,0,1,0,0,0,0,0,-.2263304,0,0
365,2,1967,.166979,.208724,4,0,151,-7,10,0,1,0,0,0,0,0,-.2231448,0,0
365,2,1968,.170108,.204013,4,0,152,-7,10,0,1,0,0,0,0,0,-.1817502,0,0
365,2,1970,.170273,.181797,4,0,154,-7,10,0,1,0,0,0,0,0,-.0654876,0,0
365,2,1978,.170097,.14019,4,0,162,-7,10,0,1,0,0,0,0,0,.1933701,0,0
365,2,1979,.166573,.13785,4,0,163,-7,10,0,1,0,0,0,0,0,.1892675,0,0
365,2,1982,.170673,.130822,4,0,166,-7,10,0,1,0,0,0,0,1,.2659118,0,0
365,2,1983,.171442,.133965,4,0,167,-7,10,0,1,0,0,0,0,1,.2466664,0,0
365,2,1984,.169143,.137062,4,0,168,-7,10,0,1,0,0,0,0,0,.2103112,0,0
365,2,1986,.173752,.136907,4,0,170,-7,10,0,1,0,0,0,0,0,.2383271,0,0
365,2,1999,.052523,.149701,4,0,183,4,10,0,1,0,0,0,0,0,-1.047389,0,0
365,2,2000,.052663,.149842,4,0,184,7,10,1,1,0,1,0,0,0,-1.045668,0,0
365,20,1999,.052523,.012595,4,0,79,4,10,0,1,0,0,1,0,0,1.427951,0,0
365,200,1836,.165743,.299511,4,0,20,-10,-2,0,0,0,0,0,0,0,-.5917127,0,0
365,200,1904,.113234,.134843,4,0,88,-10,8,0,1,0,0,0,0,0,-.1746548,0,0
365,200,1918,.037405,.142799,4,0,102,-1,8,0,1,0,0,0,0,1,-1.339634,0,0
365,200,1923,.104754,.099046,4,0,107,-7,10,0,1,0,0,0,0,0,.0560304,0,0
365,200,1948,.164,.075426,1,0,132,-9,10,0,1,1,0,0,0,1,.7767144,0,0
365,200,1950,.180598,.061349,1,0,134,-9,10,0,1,1,0,0,0,0,1.079695,0,0
365,200,1952,.170199,.057509,1,0,136,-9,10,0,1,1,0,0,0,0,1.085027,0,0
365,200,1958,.171078,.045253,4,0,142,-7,10,0,1,0,0,0,0,1,1.329851,0,0
365,200,1965,.164769,.037152,4,0,149,-7,10,0,1,0,0,1,0,0,1.489527,0,0
365,200,1970,.170273,.029371,4,0,154,-7,10,0,1,0,0,1,0,0,1.757395,0,0
365,200,1999,.052523,.024657,4,0,183,4,10,0,1,0,0,0,0,0,.7561903,0,0
365,210,1914,.110813,.005802,4,0,98,-6,-2,0,0,0,0,1,0,0,2.949641,0,0
365,210,1999,.052523,.005624,4,0,54,4,10,0,1,0,0,1,0,0,2.234208,0,0
365,211,1960,.171959,.00725,4,0,15,-7,10,0,1,0,0,1,0,0,3.166255,0,0
365,211,1999,.052523,.004852,4,0,54,4,10,0,1,0,0,1,0,0,2.38186,0,0
365,220,1948,.164,.032589,1,0,4,-9,10,0,1,1,0,1,0,1,1.615892,0,0
365,220,1958,.171078,.033774,4,0,14,-7,5,0,0,0,0,1,0,1,1.622428,0,0
365,220,1999,.052523,.022813,3,0,55,4,9,0,1,1,0,0,0,0,.8339206,0,0
365,230,1999,.052523,.010708,4,0,183,4,10,0,1,0,0,1,0,0,1.59026,0,0
365,235,1999,.052523,.002017,4,0,183,4,10,0,1,0,0,1,0,0,3.25964,0,0
365,255,1936,.148171,.115115,4,0,120,-9,-9,0,0,0,0,0,0,0,.2524353,0,0
365,255,1999,.052523,.02941,4,0,9,4,10,0,1,0,0,0,0,0,.5799164,0,0
365,260,1963,.171477,.039827,4,0,8,-7,10,0,1,0,0,1,0,0,1.459904,0,0
365,260,1964,.167705,.040108,4,0,9,-7,10,0,1,0,0,1,0,0,1.430631,0,0
365,290,1919,.063167,.018803,4,1,1,-1,8,0,1,0,0,0,0,1,1.211766,0,1
